status	ID	accession_number	site_ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
high quality	YPM-IZ-111018			NW Atlantic	Bermuda		32.307800, -64.750500	3/9/2022	93	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
excluded	YPM-IZ-111019			NW Atlantic	Bermuda		32.307800, -64.750500	3/12/2022	451	32.3078° N, 64.7505° W	R. R. Helm	Bermuda Special Permit no. SP200501
high quality	YPM-IZ-111156			SW Pacific	Tasman Sea		-35.747000, 154.330000	10/16/2023	1	35.747° S, 154.33° E	Amandine Schaeffer	
high quality	YPM-IZ-111157			SW Pacific	Tasman Sea		-35.747000, 154.330000	10/16/2023	2	35.747° S, 154.33° E	Amandine Schaeffer	
high quality	YPM-IZ-111158			SW Pacific	Tasman Sea		-35.747000, 154.330000	10/16/2023	3	35.747° S, 154.33° E	Amandine Schaeffer	
high quality	YPM-IZ-111159			SW Pacific	Tasman Sea		-35.747000, 154.330000	10/16/2023	4	35.747° S, 154.33° E	Amandine Schaeffer	
high quality	YPM-IZ-111160			SW Pacific	Tasman Sea		-35.747000, 154.330000	10/16/2023	5	35.747° S, 154.33° E	Amandine Schaeffer	
high quality	YPM-IZ-111163			SW Pacific	New South Wales	Maroubra beach	-33.947500, 151.257361	3/18/2024		33.9416° S, 151.2396° E	Amandine Schaeffer	
high quality	YPM-IZ-111207			SW Pacific	New Zealand	Te Henga	-36.895150, 174.443889	3/15/2024		-36.8951498477991, 174.443889	Casey Dunn	
high quality	YPM-IZ-111208			SW Pacific	New Zealand	Te Henga	-36.895150, 174.443889	3/15/2024		-36.8951498477991, 174.443889	Casey Dunn	
high quality	YPM-IZ-111209			SW Pacific	New Zealand	Te Henga	-36.895150, 174.443889	3/15/2024		-36.8951498477991, 174.443889	Casey Dunn	
high quality	YPM-IZ-111210			SW Pacific	New Zealand	Te Henga	-36.895150, 174.443889	3/15/2024		-36.8951498477991, 174.443889	Casey Dunn	
high quality	YPM-IZ-111211			SW Pacific	New Zealand	Te Henga	-36.895150, 174.443889	3/15/2024		-36.8951498477991, 174.443889	Casey Dunn	
high quality	YPM-IZ-111212			SW Pacific	New Zealand	Te Henga	-36.895150, 174.443889	3/15/2024		-36.8951498477991, 174.443889	Casey Dunn	
